item,itemLabel,year,genreLabel
http://www.wikidata.org/entity/Q981342,Salvatore Ferragamo,1898,male
http://www.wikidata.org/entity/Q1691607,Joe Straßner,1898,male
http://www.wikidata.org/entity/Q11715882,Jadwiga Grabowska,1898,female
http://www.wikidata.org/entity/Q2361741,Pavel Tchelitchew,1898,male
http://www.wikidata.org/entity/Q5551002,Germaine Monteil,1898,female
http://www.wikidata.org/entity/Q124705489,May Lemmen-de Wit,1898,female
http://www.wikidata.org/entity/Q7563000,Sophie Gimbel,1898,female
http://www.wikidata.org/entity/Q47010055,Fira Benenson,1898,female
http://www.wikidata.org/entity/Q67605878,Sally Milgrim,1898,female
http://www.wikidata.org/entity/Q55979267,Matilda Etches,1898,female
http://www.wikidata.org/entity/Q65092930,Carrie Munn,1898,female
http://www.wikidata.org/entity/Q112565940,Anna Tannenberg,1899,female
http://www.wikidata.org/entity/Q23022246,Frederick Freed,1899,male
http://www.wikidata.org/entity/Q2784891,Joan Praetorius,1899,male
http://www.wikidata.org/entity/Q3033970,Dolly Tree,1899,female
http://www.wikidata.org/entity/Q4407601,Valentina,1899,female
http://www.wikidata.org/entity/Q104173678,Božena Rothmayerová,1899,female
http://www.wikidata.org/entity/Q69141065,Jo Copeland,1899,female
http://www.wikidata.org/entity/Q20961920,Marcel Dhorme,1899,male
http://www.wikidata.org/entity/Q50804821,Marg von Schwerin,1899,female
http://www.wikidata.org/entity/Q63322633,Florence Eiseman,1899,female
http://www.wikidata.org/entity/Q76751,Adolf Dassler,1900,male
http://www.wikidata.org/entity/Q145245,Irene Lentz,1900,female
http://www.wikidata.org/entity/Q112659208,Maurice Tumarkin,1900,male
http://www.wikidata.org/entity/Q1999630,Norman Norell,1900,male
http://www.wikidata.org/entity/Q3306559,Ruth Harkness,1900,female
http://www.wikidata.org/entity/Q3442404,Rose Repetto,1900,female
http://www.wikidata.org/entity/Q27969772,Louella Ballerino,1900,female
http://www.wikidata.org/entity/Q124705484,Bep Denis,1900,female
http://www.wikidata.org/entity/Q6938641,Muriel King,1900,female
http://www.wikidata.org/entity/Q19931323,Paulette,1900,female
http://www.wikidata.org/entity/Q110318561,Gina Klaber-Thusek,1900,female
http://www.wikidata.org/entity/Q96674985,Hannah Troy,1900,female
http://www.wikidata.org/entity/Q123945275,Charles Montaigne,1900,male
http://www.wikidata.org/entity/Q65553640,E. M. A. Steinmetz,1900,female
http://www.wikidata.org/entity/Q65560035,Yvonne Davidson,1900,female
http://www.wikidata.org/entity/Q67214604,Olga di Grésy,1900,female
http://www.wikidata.org/entity/Q2178652,Ré Soupault,1901,female
http://www.wikidata.org/entity/Q145245,Irene Lentz,1901,female
http://www.wikidata.org/entity/Q1677232,Jack Weil,1901,male
http://www.wikidata.org/entity/Q12000376,Sigrun Berg,1901,female
http://www.wikidata.org/entity/Q5046109,Carri Mundane,1901,female
http://www.wikidata.org/entity/Q112632057,Eva Rosencrans,1901,female
http://www.wikidata.org/entity/Q112701548,Mark Mooring,1901,male
http://www.wikidata.org/entity/Q5492240,Norman Hartnell,1901,male
http://www.wikidata.org/entity/Q6003522,María Clara Triviño,1901,female
http://www.wikidata.org/entity/Q25413989,Andrew Christian,1901,male
http://www.wikidata.org/entity/Q3809800,Jole Veneziani,1901,female
http://www.wikidata.org/entity/Q112758129,Betty Yokova,1901,female
http://www.wikidata.org/entity/Q7920803,Vera Maxwell,1901,female
http://www.wikidata.org/entity/Q7607100,Stella Mary Newton,1901,female
http://www.wikidata.org/entity/Q86751585,Odette Barsa,1901,female
http://www.wikidata.org/entity/Q42356553,ChinaSweets,1901,female
http://www.wikidata.org/entity/Q120495119,Addie Masters,1901,female
http://www.wikidata.org/entity/Q71228817,Ashcharya Peiris,1901,female
http://www.wikidata.org/entity/Q20657551,Sylvia Pedlar,1901,female
http://www.wikidata.org/entity/Q57243957,Maurice Plas,1901,male
http://www.wikidata.org/entity/Q63980837,Lydia Lavín,1901,female
http://www.wikidata.org/entity/Q16172128,Asunción Bastida i Pibernat,1902,female
http://www.wikidata.org/entity/Q1079125,Christian Bérard,1902,male
http://www.wikidata.org/entity/Q1515584,Gertrud Höchsmann,1902,female
http://www.wikidata.org/entity/Q11862005,Helen Brockman,1902,female
http://www.wikidata.org/entity/Q110914761,Ada Vera Bernstein Viterbo,1902,female
http://www.wikidata.org/entity/Q5460327,Flora MacKenzie,1902,female
http://www.wikidata.org/entity/Q3230959,Nudie Cohn,1902,male
http://www.wikidata.org/entity/Q3241292,Lien Bergé-Farwick,1902,female
http://www.wikidata.org/entity/Q6896661,Molly Parnis,1902,female
http://www.wikidata.org/entity/Q6928791,John P. John,1902,male
http://www.wikidata.org/entity/Q36643891,Thea Tewi,1902,female
http://www.wikidata.org/entity/Q11434052,Sueko Ōtsuka,1902,female
http://www.wikidata.org/entity/Q62066728,Edith Foltz,1902,female
http://www.wikidata.org/entity/Q65128019,Alberto Dalcò,1902,male
http://www.wikidata.org/entity/Q65953068,Eleonora Garnett,1902,female
http://www.wikidata.org/entity/Q450619,Diana Vreeland,1903,female
http://www.wikidata.org/entity/Q1251200,Klára Rotschild,1903,female
http://www.wikidata.org/entity/Q4893469,Bernard Newman,1903,male
http://www.wikidata.org/entity/Q1366554,Adrian,1903,male
http://www.wikidata.org/entity/Q5126235,Clare Potter,1903,female
http://www.wikidata.org/entity/Q5362941,Elizabeth Hawes,1903,female
http://www.wikidata.org/entity/Q17300984,Carme Mir i Llusada,1903,female
http://www.wikidata.org/entity/Q18163294,Otto Lucas,1903,male
http://www.wikidata.org/entity/Q4681902,Adele Simpson,1903,female
http://www.wikidata.org/entity/Q55282133,Maria Antonelli,1903,female
http://www.wikidata.org/entity/Q455568,Helen Rose,1904,female
http://www.wikidata.org/entity/Q221454,René Lacoste,1904,male
http://www.wikidata.org/entity/Q1486239,Liffa Gregoriussen,1904,female
http://www.wikidata.org/entity/Q16976870,Van Day Truex,1904,male
http://www.wikidata.org/entity/Q17438425,Ginette Spanier,1904,female
http://www.wikidata.org/entity/Q3724525,Emilio Schuberth,1904,male
http://www.wikidata.org/entity/Q55895846,Elise Topell,1904,female
http://www.wikidata.org/entity/Q159694,Christian Dior,1905,male
http://www.wikidata.org/entity/Q16012440,Aldo Gucci,1905,male
http://www.wikidata.org/entity/Q16665489,Muguette Buhler,1905,female
http://www.wikidata.org/entity/Q2975089,Claire McCardell,1905,female
http://www.wikidata.org/entity/Q26998201,Sally Victor,1905,female
http://www.wikidata.org/entity/Q112733193,Emeric Partos,1905,male
http://www.wikidata.org/entity/Q6896661,Molly Parnis,1905,female
http://www.wikidata.org/entity/Q33035958,Holger Blom,1905,male
http://www.wikidata.org/entity/Q8068713,Zelda Wynn Valdes,1905,female
http://www.wikidata.org/entity/Q94421973,Fridl Loos,1905,female
http://www.wikidata.org/entity/Q15428255,Franco Barberis,1905,male
http://www.wikidata.org/entity/Q21055332,Germana Marucelli,1905,female
http://www.wikidata.org/entity/Q450619,Diana Vreeland,1906,female
http://www.wikidata.org/entity/Q6750843,Fini Leitersdorf,1906,female
http://www.wikidata.org/entity/Q586781,Larry Aldrich,1906,male
http://www.wikidata.org/entity/Q5079420,Charles James,1906,male
http://www.wikidata.org/entity/Q5293020,Don Loper,1906,male
http://www.wikidata.org/entity/Q17496503,Digby Morton,1906,male
http://www.wikidata.org/entity/Q18162738,Aage Thaarup,1906,male
http://www.wikidata.org/entity/Q3639894,Biki,1906,female
http://www.wikidata.org/entity/Q3742862,Fernanda Gattinoni,1906,female
http://www.wikidata.org/entity/Q7367848,Rose Marie Reid,1906,female
http://www.wikidata.org/entity/Q11575361,Chiyo Tanaka,1906,female
http://www.wikidata.org/entity/Q73502226,Zdeňka Housková,1906,female
http://www.wikidata.org/entity/Q55830503,Henri de Châtillon,1906,male
http://www.wikidata.org/entity/Q64840868,Laura Aponte,1906,female
http://www.wikidata.org/entity/Q65126507,Nazareno Fonticoli,1906,male
