occupation,occupationLabel,occupationDescription
http://www.wikidata.org/entity/Q49176591,public relations executive,person working in the field of public relations
http://www.wikidata.org/entity/Q4178004,publicist,"person who manages publicity for a public figure, a business or a work"
http://www.wikidata.org/entity/Q3115636,publicity graphist,graphic designer
http://www.wikidata.org/entity/Q2516866,publisher,person heading a publishing company or who publishes media
http://www.wikidata.org/entity/Q1642960,pundit,someone who offers their opinion via mass media
http://www.wikidata.org/entity/Q2629392,puppeteer,person who manipulates a puppet in real time to create the illusion of life
http://www.wikidata.org/entity/Q112040,race queen,promotional model in motor racing
http://www.wikidata.org/entity/Q2722764,radio personality,person who has an on-air position in radio broadcasting
http://www.wikidata.org/entity/Q2252262,rapper,artist who speaks rhymes in a rhythm over music
http://www.wikidata.org/entity/Q27658988,reality television participant,person who participates in reality television
http://www.wikidata.org/entity/Q60118864,reality television program judge,person who participates in a reality show as a  competition judge or mentor
http://www.wikidata.org/entity/Q183945,record producer,individual who oversees and manages the recording of an artist's music
http://www.wikidata.org/entity/Q55960555,recording artist,"person, musician who performs music for recordings"
http://www.wikidata.org/entity/Q1650915,researcher,"person who engages in research, professionally or otherwise. If a more specific occupation is known, use that instead"
http://www.wikidata.org/entity/Q1397808,resistance fighter,fighter of a resistance movement
http://www.wikidata.org/entity/Q3427922,restaurateur,person who opens and runs restaurants professionally
http://www.wikidata.org/entity/Q2145981,restorer,person who repairs damaged works of art
